id,latitude,longitude
198,676060.747,3360230.533
199,676060.708,3360230.467
200,676060.839,3360230.33
201,676060.857,3360230.228
202,676060.866,3360230.172
203,676060.859,3360230.098
204,676060.900,3360230.042
205,676060.908,3360230.07
206,676060.938,3360230.173
207,676060.987,3360230.183
208,676060.849,3360230.237
209,676060.887,3360230.395
210,676060.789,3360230.45
211,676060.726,3360230.384
212,676060.728,3360230.226
213,676060.762,3360230.142
214,676060.779,3360230.078
215,676060.738,3360230.086
216,676060.674,3360230.104
217,676060.625,3360230.131
218,676060.592,3360230.158
219,676060.600,3360230.177
220,676060.551,3360230.213
221,676060.574,3360230.288
222,676060.555,3360230.437
223,676060.556,3360230.381
224,676060.582,3360230.27
225,676060.583,3360230.223
226,676060.640,3360230.196
227,676060.752,3360230.217
228,676060.769,3360230.18
229,676060.762,3360230.142
230,676060.770,3360230.115
231,676060.842,3360230.162
232,676060.986,3360230.239
233,676061.056,3360230.37
234,676061.046,3360230.491
235,676061.037,3360230.574
236,676061.027,3360230.676
237,676061.083,3360230.724
238,676061.178,3360230.809
239,676061.194,3360230.846
240,676061.163,3360230.753
241,676061.115,3360230.724
242,676061.154,3360230.781
243,676061.163,3360230.762
244,676061.163,3360230.734
245,676061.131,3360230.715
246,676061.083,3360230.715
247,676061.067,3360230.686
248,676061.042,3360230.723
249,676061.050,3360230.779
250,676061.041,3360230.807
251,676061.095,3360230.984
252,676061.294,3360231.127
253,676061.488,3360231.567
254,676061.352,3360231.983
255,676061.116,3360232.676
256,676060.693,3360233.375
257,676060.259,3360234.288
258,676059.872,3360235.351
259,676059.340,3360236.355
260,676058.744,3360237.312
261,676058.222,3360238.177
262,676057.797,3360239.062
263,676057.411,3360239.976
264,676057.116,3360240.78
265,676057.070,3360241.169
266,676056.888,3360241.473
267,676056.564,3360242.063
268,676056.267,3360242.495
269,676056.093,3360242.771
270,676055.964,3360243.261
271,676055.697,3360243.814
272,676055.455,3360244.322
273,676055.289,3360244.672
274,676055.126,3360244.772
275,676055.189,3360244.838
276,676055.172,3360244.921
277,676055.154,3360245.004
278,676055.105,3360245.05
279,676055.072,3360245.096
280,676055.048,3360245.096
281,676054.992,3360245.095
282,676054.926,3360245.159
283,676054.901,3360245.233
284,676054.868,3360245.251
285,676054.876,3360245.288
286,676054.811,3360245.315
287,676054.665,3360245.35
288,676054.511,3360245.394
289,676054.349,3360245.475
290,676054.155,3360245.527
291,676054.001,3360245.571
292,676053.840,3360245.531
293,676053.664,3360245.445
294,676053.609,3360245.398
295,676053.593,3360245.369
296,676053.537,3360245.331
297,676053.457,3360245.321
298,676053.360,3360245.319
299,676053.311,3360245.346
300,676053.222,3360245.401
301,676053.133,3360245.427
302,676053.108,3360245.445
303,676053.043,3360245.463
304,676052.987,3360245.443
305,676052.996,3360245.406
306,676053.005,3360245.36
307,676052.958,3360245.257
308,676052.896,3360245.126
309,676052.897,3360245.033
310,676052.857,3360245.004
311,676052.841,3360245.013
312,676052.744,3360245.031
313,676052.639,3360245.075
314,676052.557,3360245.13
315,676052.451,3360245.202
316,676052.384,3360245.369
317,676052.586,3360245.325
318,676052.872,3360245.088
319,676053.036,3360244.914
320,676052.947,3360244.95
321,676053.005,3360244.858
322,676053.031,3360244.738
323,676053.065,3360244.636
324,676053.083,3360244.534
325,676053.100,3360244.451
326,676053.117,3360244.377
327,676053.118,3360244.321
328,676052.958,3360244.291
329,676052.869,3360244.271
330,676052.871,3360244.196
331,676052.920,3360244.104
332,676052.953,3360244.067
333,676052.945,3360244.067
334,676052.929,3360244.086
335,676052.920,3360244.113
336,676052.928,3360244.141
337,676052.951,3360244.179
338,676052.983,3360244.226
339,676052.998,3360244.263
340,676052.990,3360244.282
341,676052.990,3360244.31
342,676053.013,3360244.356
343,676053.029,3360244.375
344,676053.028,3360244.394
345,676052.988,3360244.412
346,676052.930,3360244.504
347,676052.864,3360244.577
348,676052.791,3360244.613
349,676052.733,3360244.714
350,676052.698,3360244.881
351,676052.704,3360245.039
352,676052.742,3360245.151
353,676052.765,3360245.254
354,676052.755,3360245.337
355,676052.730,3360245.402
356,676052.713,3360245.457
357,676052.672,3360245.513
358,676052.615,3360245.549
359,676052.574,3360245.595
360,676052.509,3360245.649
361,676052.435,3360245.713
362,676052.369,3360245.786
363,676052.296,3360245.85
364,676052.287,3360245.878
365,676052.223,3360245.896
366,676052.150,3360245.885
367,676052.134,3360245.894
368,676052.150,3360245.876
369,676052.159,3360245.811
370,676052.168,3360245.774
371,676052.176,3360245.793
372,676052.143,3360245.857
373,676052.100,3360245.968
374,676052.052,3360246.004
375,676051.995,3360246.041
376,676051.913,3360246.086
377,676051.856,3360246.15
378,676051.870,3360246.28
379,676051.820,3360246.344
380,676051.748,3360246.315
381,676051.733,3360246.259
382,676051.688,3360246.082
383,676051.650,3360245.942
384,676051.642,3360245.933
385,676051.642,3360245.933
386,676051.601,3360245.96
387,676051.568,3360246.034
388,676051.526,3360246.08
389,676051.494,3360246.107
390,676051.478,3360246.097
391,676051.510,3360246.107
392,676051.550,3360246.108
393,676051.575,3360246.099
394,676051.615,3360246.062
395,676051.640,3360246.007
396,676051.699,3360245.878
397,676051.822,3360245.75
398,676051.937,3360245.584
399,676052.013,3360245.409
400,676052.040,3360245.251
401,676052.074,3360245.103
402,676052.100,3360244.974
403,676052.110,3360244.881
404,676052.096,3360244.76
405,676052.073,3360244.648
406,676052.075,3360244.536
407,676052.101,3360244.453
408,676052.142,3360244.38
409,676052.184,3360244.306
410,676052.168,3360244.287
411,676052.116,3360244.528
412,676051.878,3360244.793
413,676052.097,3360244.193
414,676052.081,3360244.211
415,676052.047,3360244.267
416,676052.047,3360244.313
417,676051.998,3360244.349
418,676051.920,3360244.199
419,676051.841,3360244.077
420,676051.800,3360244.086
421,676051.834,3360244.031
422,676051.874,3360244.022
423,676051.874,3360244.013
424,676051.865,3360244.059
425,676051.848,3360244.124
426,676051.823,3360244.179
427,676051.806,3360244.235
428,676051.773,3360244.318
429,676051.740,3360244.327
430,676051.732,3360244.345
431,676051.730,3360244.438
432,676051.746,3360244.494
433,676051.769,3360244.541
434,676051.768,3360244.597
435,676051.743,3360244.68
436,676051.718,3360244.726
437,676051.685,3360244.762
438,676051.627,3360244.817
439,676051.579,3360244.854
440,676051.555,3360244.844
441,676051.546,3360244.844
442,676051.538,3360244.853
443,676051.554,3360244.863
444,676051.578,3360244.872
445,676051.659,3360244.846
446,676051.847,3360244.7
447,676052.106,3360244.602
448,676052.074,3360244.592
449,676052.092,3360244.509
450,676052.027,3360244.545
451,676052.027,3360244.536
452,676052.068,3360244.462
453,676051.997,3360244.396
454,676051.885,3360244.32
455,676051.821,3360244.3
456,676051.838,3360244.263
457,676051.839,3360244.207
458,676051.733,3360244.243
459,676051.521,3360244.407
460,676051.157,3360244.503
461,676050.835,3360244.489
462,676050.537,3360244.465
463,676050.659,3360244.402
464,676050.659,3360244.411
465,676050.658,3360244.458
466,676050.674,3360244.505
467,676050.722,3360244.515
468,676050.762,3360244.534
469,676050.810,3360244.553
470,676050.809,3360244.59
471,676050.809,3360244.627
472,676050.792,3360244.674
473,676050.767,3360244.72
474,676050.734,3360244.747
475,676050.686,3360244.756
476,676050.669,3360244.783
477,676050.443,3360244.817
478,676049.828,3360244.983
479,676049.050,3360245.212
480,676048.201,3360245.394
481,676047.249,3360245.499
482,676046.247,3360245.65
483,676045.220,3360245.829
484,676044.138,3360245.96
485,676043.210,3360246.094
486,676042.481,3360246.286
487,676041.705,3360246.413
488,676040.818,3360246.492
489,676039.898,3360246.579
490,676039.056,3360246.779
491,676038.335,3360247
492,676037.567,3360247.192
493,676036.829,3360247.431
494,676036.117,3360247.605
495,676035.404,3360247.891
496,676034.512,3360248.193
497,676033.527,3360248.344
498,676032.614,3360248.45
499,676031.823,3360248.54
500,676031.080,3360248.639
501,676030.416,3360248.842
502,676029.842,3360248.926
503,676029.334,3360248.955
504,676029.012,3360248.931
505,676028.747,3360248.88
506,676028.867,3360248.919
507,676028.893,3360248.864
508,676028.869,3360248.845
509,676028.861,3360248.836
510,676028.893,3360248.818
511,676028.918,3360248.799
512,676028.934,3360248.772
513,676028.943,3360248.763
514,676028.926,3360248.772
515,676028.902,3360248.799
516,676028.893,3360248.808
517,676028.901,3360248.818
518,676028.910,3360248.781
519,676028.918,3360248.772
520,676028.895,3360248.725
521,676028.757,3360248.769
522,676028.651,3360248.851
523,676028.619,3360248.822
524,676028.604,3360248.776
525,676028.613,3360248.739
526,676028.669,3360248.712
527,676028.701,3360248.731
528,676028.644,3360248.814
529,676028.626,3360248.897
530,676028.553,3360248.924
531,676028.521,3360248.914
532,676028.513,3360248.904
533,676028.513,3360248.886
534,676028.530,3360248.849
535,676028.539,3360248.793
536,676028.516,3360248.746
537,676028.524,3360248.728
538,676028.509,3360248.691
539,676028.437,3360248.624
540,676028.398,3360248.568
541,676028.381,3360248.614
542,676028.331,3360248.697
543,676028.347,3360248.734
544,676028.379,3360248.716
545,676028.379,3360248.707
546,676028.348,3360248.669
547,676028.300,3360248.65
548,676028.138,3360248.675
549,676027.953,3360248.672
550,676027.839,3360248.708
551,676027.668,3360248.826
552,676027.464,3360248.98
553,676027.270,3360249.061
554,676027.210,3360249.255
555,676027.119,3360249.43
556,676026.996,3360249.512
557,676026.875,3360249.528
558,676026.802,3360249.546
559,676026.770,3360249.545
560,676026.794,3360249.546
561,676026.818,3360249.555
562,676026.850,3360249.612
563,676026.865,3360249.668
564,676026.904,3360249.724
565,676026.920,3360249.771
566,676026.919,3360249.817
567,676026.918,3360249.854
568,676026.910,3360249.873
569,676026.902,3360249.854
570,676026.886,3360249.826
571,676026.887,3360249.789
572,676026.879,3360249.789
573,676026.903,3360249.826
574,676026.910,3360249.891
575,676026.941,3360249.92
576,676026.853,3360249.9
577,676026.676,3360249.888
578,676026.716,3360249.898
579,676026.773,3360249.852
580,676026.830,3360249.816
581,676026.903,3360249.789
582,676026.919,3360249.826
583,676026.911,3360249.826
584,676026.928,3360249.771
585,676026.952,3360249.781
586,676026.952,3360249.79
587,676026.798,3360249.797
588,676026.685,3360249.841
589,676026.660,3360249.887
590,676026.668,3360249.887
591,676026.685,3360249.851
592,676026.725,3360249.851
593,676026.708,3360249.87
594,676026.749,3360249.87
595,676026.781,3360249.871
596,676026.789,3360249.871
597,676026.788,3360249.908
598,676026.764,3360249.945
599,676026.651,3360249.952
600,676026.618,3360249.989
601,676026.617,3360250.026
602,676026.561,3360249.997
603,676026.522,3360249.959
604,676026.498,3360249.931
605,676026.523,3360249.904
606,676026.556,3360249.858
607,676026.540,3360249.83
608,676026.500,3360249.82
609,676026.443,3360249.856
610,676026.402,3360249.892
611,676026.353,3360249.938
612,676026.311,3360250.012
613,676026.270,3360250.058
614,676026.246,3360250.076
615,676026.245,3360250.094
616,676026.229,3360250.103
617,676026.213,3360250.103
618,676026.221,3360250.113
619,676026.229,3360250.094
620,676026.245,3360250.113
621,676026.229,3360250.131
622,676026.229,3360250.141
623,676026.277,3360250.151
624,676026.285,3360250.169
625,676026.309,3360250.16
626,676026.341,3360250.142
627,676026.359,3360250.04
628,676026.369,3360249.929
629,676026.354,3360249.855
630,676026.322,3360249.845
631,676026.242,3360249.797
632,676026.178,3360249.768
633,676026.082,3360249.766
634,676026.009,3360249.775
635,676025.976,3360249.802
636,676025.960,3360249.83
637,676025.927,3360249.838
638,676025.911,3360249.819
639,676025.904,3360249.81
640,676025.904,3360249.782
641,676025.897,3360249.745
642,676025.897,3360249.745
643,676025.896,3360249.782
644,676025.879,3360249.819
645,676025.886,3360249.893
646,676025.877,3360249.949
647,676025.900,3360250.005
648,676025.916,3360250.043
649,676025.900,3360250.033
650,676025.917,3360249.996
651,676025.941,3360250.006
652,676025.940,3360250.024
653,676025.964,3360250.034
654,676026.012,3360250.081
655,676026.044,3360250.119
656,676026.027,3360250.147
657,676026.010,3360250.174
658,676026.010,3360250.193
659,676026.018,3360250.193
660,676026.010,3360250.174
661,676026.011,3360250.118
662,676026.004,3360250.063
663,676026.029,3360250.017
664,676025.920,3360249.792
665,676025.520,3360249.618
666,676024.851,3360249.626
667,676023.914,3360249.759
668,676022.904,3360249.938
669,676021.862,3360250.089
670,676020.861,3360250.147
671,676019.934,3360250.188
672,676019.013,3360250.321
673,676018.157,3360250.41
674,676017.303,3360250.433
675,676016.462,3360250.568
676,676015.654,3360250.722
677,676014.839,3360250.793
678,676013.942,3360250.955
679,676013.053,3360251.099
680,676012.164,3360251.279
681,676011.170,3360251.458
682,676010.167,3360251.665
683,676009.149,3360251.816
684,676008.091,3360251.938
685,676007.058,3360252.042
686,676006.122,3360252.148
687,676005.160,3360252.3
688,676004.270,3360252.527
689,676003.438,3360252.653
690,676002.656,3360252.687
691,676001.873,3360252.721
692,676001.259,3360252.832
693,676000.847,3360252.927
694,676000.524,3360252.931
695,676001.049,3360252.875
696,676001.624,3360252.717
697,676002.335,3360252.552
698,676003.063,3360252.405
699,676003.830,3360252.306
700,676004.074,3360252.18
701,676003.899,3360252.047
702,676004.050,3360252.17
703,676004.268,3360252.137
704,676004.542,3360252.169
705,676004.806,3360252.248
706,676004.768,3360252.136
707,676004.761,3360252.07
708,676004.762,3360252.005
709,676004.772,3360251.875
710,676004.731,3360251.949
711,676004.721,3360252.023
712,676004.753,3360252.033
713,676004.810,3360252.043
714,676004.842,3360252.053
715,676004.842,3360252.044
716,676004.825,3360252.081
717,676004.784,3360252.117
718,676004.751,3360252.163
719,676004.735,3360252.182
720,676004.710,3360252.209
721,676004.694,3360252.227
722,676004.710,3360252.246
723,676004.718,3360252.246
724,676004.750,3360252.247
725,676004.806,3360252.257
726,676004.822,3360252.276
727,676004.806,3360252.248
728,676004.482,3360252.345
729,676003.754,3360252.547
730,676002.841,3360252.681
731,676001.904,3360252.805
732,676001.073,3360252.875
733,676000.386,3360252.994
734,675999.820,3360253.124
735,675999.423,3360253.248
736,675999.139,3360253.383
737,675998.943,3360253.51
738,675999.160,3360253.55
739,675999.496,3360253.714
740,675999.956,3360253.684
741,676000.263,3360253.633
742,676000.302,3360253.69
743,676000.315,3360253.411
744,676000.334,3360253.253
745,676000.352,3360253.133
746,676000.345,3360253.049
747,676000.306,3360252.974
748,676000.258,3360252.918
749,676000.154,3360252.888
750,676000.099,3360252.841
751,676000.115,3360252.813
752,676000.115,3360252.832
753,676000.146,3360252.869
754,676000.146,3360252.869
755,676000.129,3360252.934
756,676000.087,3360253.045
757,676000.070,3360253.128
758,676000.084,3360253.212
759,676000.051,3360253.314
760,676000.001,3360253.415
761,675999.935,3360253.47
762,675999.846,3360253.534
763,675999.853,3360253.58
764,675999.900,3360253.627
765,675999.964,3360253.684
766,676000.020,3360253.741
767,676000.099,3360253.798
768,676000.163,3360253.864
769,676000.242,3360253.921
770,676000.306,3360253.978
771,676000.337,3360254.034
772,676000.352,3360254.099
773,676000.367,3360254.155
774,676000.359,3360254.202
775,676000.350,3360254.229
776,676000.309,3360254.247
777,676000.285,3360254.238
778,676000.253,3360254.237
779,676000.221,3360254.209
780,676000.198,3360254.181
781,676000.142,3360254.161
782,676000.061,3360254.141
783,675999.974,3360254.084
784,675999.845,3360254.054
785,675999.773,3360254.016
786,675999.701,3360253.977
787,675999.638,3360253.883
788,675999.560,3360253.752
789,675999.464,3360253.676
790,675999.401,3360253.619
791,675999.369,3360253.619
792,675999.321,3360253.59
793,675999.281,3360253.562
794,675999.257,3360253.552
795,675999.209,3360253.542
796,675999.136,3360253.55
797,675999.056,3360253.539
798,675998.976,3360253.51
799,675998.896,3360253.463
800,675998.824,3360253.406
801,675998.777,3360253.349
802,675998.680,3360253.329
803,675998.487,3360253.317
804,675998.382,3360253.324
805,675998.333,3360253.351
806,675998.293,3360253.369
807,675998.277,3360253.378
808,675998.244,3360253.396
809,675998.196,3360253.405
810,675998.155,3360253.423
811,675998.138,3360253.45
812,675998.130,3360253.469
813,675998.122,3360253.459
814,675998.131,3360253.432
815,675998.155,3360253.432
816,675998.163,3360253.432
817,675998.187,3360253.414
818,675998.195,3360253.433
819,675998.163,3360253.441
820,675998.114,3360253.45
821,675998.074,3360253.468
822,675998.041,3360253.486
823,675998.033,3360253.504
824,675998.049,3360253.495
825,675998.049,3360253.495
826,675998.025,3360253.504
827,675998.041,3360253.523
828,675998.056,3360253.542
829,675998.065,3360253.533
830,675998.064,3360253.551
831,675998.048,3360253.588
832,675998.031,3360253.616
833,675998.007,3360253.634
834,675998.006,3360253.653
835,675998.006,3360253.671
836,675998.005,3360253.746
837,675998.012,3360253.792
838,675997.979,3360253.838
839,675997.738,3360253.778
840,675997.246,3360253.789
841,675996.592,3360253.881
842,675995.825,3360253.989
843,675994.993,3360254.124
844,675994.210,3360254.195
845,675993.507,3360254.305
846,675992.707,3360254.45
847,675991.818,3360254.621
848,675990.953,3360254.756
849,675990.212,3360254.763
850,675989.550,3360254.817
851,675988.952,3360254.937
852,675988.225,3360254.991
853,675987.459,3360255.053
854,675986.675,3360255.161
855,675985.907,3360255.334
856,675985.082,3360255.498
857,675984.210,3360255.586
858,675983.362,3360255.721
859,675982.465,3360255.901
860,675981.495,3360256.053
861,675980.494,3360256.158
862,675979.566,3360256.226
863,675978.759,3360256.325
864,675977.951,3360256.47
865,675977.232,3360256.579
866,675976.561,3360256.679
867,675975.923,3360256.799
868,675975.566,3360256.896
869,675975.429,3360256.931
870,675975.550,3360256.905
871,675975.549,3360256.951
872,675975.533,3360256.988
873,675975.508,3360256.988
874,675975.492,3360256.997
875,675975.476,3360257.015
876,675975.452,3360257.005
877,675975.388,3360256.986
878,675975.340,3360256.957
879,675975.292,3360256.928
880,675975.211,3360256.918
881,675975.155,3360256.908
882,675975.083,3360256.897
883,675975.035,3360256.887
884,675974.930,3360256.895
885,675974.873,3360256.894
886,675974.857,3360256.912
887,675974.865,3360256.931
888,675974.897,3360256.941
889,675974.921,3360256.932
890,675974.969,3360256.942
891,675974.969,3360256.942
892,675975.001,3360256.961
893,675975.025,3360256.971
894,675975.041,3360256.98
895,675975.049,3360256.999
896,675975.024,3360257.017
897,675975.032,3360257.045
898,675975.024,3360257.063
899,675975.032,3360257.054
900,675975.040,3360257.064
901,675975.128,3360257.074
902,675975.192,3360257.122
903,675975.255,3360257.216
904,675975.117,3360257.288
905,675974.900,3360257.266
906,675974.681,3360257.337
907,675974.390,3360257.406
908,675974.332,3360257.461
909,675974.138,3360257.505
910,675973.959,3360257.604
911,675973.693,3360257.627
912,675973.378,3360257.687
913,675973.289,3360257.686
914,675973.088,3360257.683
915,675972.985,3360257.56
916,675972.930,3360257.457
917,675972.850,3360257.456
918,675972.769,3360257.482
919,675972.760,3360257.482
920,675972.753,3360257.473
921,675972.753,3360257.464
922,675972.737,3360257.454
923,675972.705,3360257.416
924,675972.706,3360257.388
925,675972.730,3360257.38
926,675972.746,3360257.352
927,675972.755,3360257.306
928,675972.732,3360257.259
929,675972.725,3360257.194
930,675972.701,3360257.175
931,675972.661,3360257.155
932,675972.637,3360257.155
933,675972.629,3360257.155
934,675972.637,3360257.118
935,675972.598,3360257.061
936,675972.566,3360257.042
937,675972.534,3360257.014
938,675972.519,3360256.986
939,675972.455,3360256.929
940,675972.384,3360256.872
941,675972.328,3360256.825
942,675972.288,3360256.796
943,675972.272,3360256.796
944,675972.223,3360256.814
945,675972.207,3360256.823
946,675972.183,3360256.795
947,675972.199,3360256.832
948,675972.206,3360256.86
949,675972.206,3360256.86
950,675972.190,3360256.869
951,675972.149,3360256.933
952,675972.084,3360256.97
953,675972.019,3360256.996
954,675971.986,3360257.014
955,675971.986,3360257.042
956,675971.986,3360257.052
957,675971.935,3360257.209
958,675971.666,3360257.409
959,675971.100,3360257.483
960,675970.390,3360257.574
961,675969.590,3360257.719
962,675968.725,3360257.872
963,675967.844,3360257.998
964,675967.020,3360258.124
965,675966.213,3360258.222
966,675965.341,3360258.31
967,675964.477,3360258.445
968,675963.701,3360258.581
969,675962.941,3360258.745
970,675962.124,3360258.89
971,675961.365,3360259.008
972,675960.613,3360259.163
973,675959.797,3360259.252
974,675958.943,3360259.238
975,675958.121,3360259.29
976,675957.297,3360259.416
977,675956.416,3360259.541
978,675955.616,3360259.705
979,675954.848,3360259.86
980,675954.048,3360259.959
981,675953.290,3360260.021
982,675952.628,3360260.066
983,675951.974,3360260.167
984,675951.286,3360260.314
985,675950.599,3360260.442
986,675949.896,3360260.551
987,675949.194,3360260.614
988,675948.443,3360260.695
989,675947.797,3360260.833
990,675947.262,3360260.983
991,675946.971,3360261.071
992,675946.695,3360261.169
993,675946.784,3360261.179
994,675946.799,3360261.208
995,675946.799,3360261.217
996,675946.912,3360261.228
997,675946.977,3360261.192
998,675947.002,3360261.136
999,675946.979,3360261.08
1000,675946.931,3360261.061
1001,675946.882,3360261.069
1002,675946.801,3360261.068
1003,675946.721,3360261.048
1004,675946.681,3360261.038
1005,675946.673,3360261.029
1006,675946.665,3360261.047
1007,675946.657,3360261.057
1008,675946.648,3360261.075
1009,675946.616,3360261.093
1010,675946.591,3360261.139
1011,675946.565,3360261.213
1012,675946.484,3360261.24
1013,675946.298,3360261.33
1014,675945.876,3360261.49
1015,675945.213,3360261.647
1016,675944.421,3360261.736
1017,675943.561,3360261.638
1018,675942.611,3360261.577
1019,675941.602,3360261.69
1020,675940.559,3360261.859
1021,675939.492,3360262.056
1022,675938.490,3360262.254
1023,675937.464,3360262.386
1024,675936.407,3360262.508
1025,675935.325,3360262.621
1026,675934.234,3360262.789
1027,675933.207,3360263.032
1028,675932.196,3360263.267
1029,675931.277,3360263.243
1030,675930.836,3360262.613
1031,675930.675,3360261.607
1032,675930.508,3360260.508
1033,675930.318,3360259.287
1034,675930.046,3360258.14
1035,675929.982,3360257.144
1036,675930.136,3360256.543
1037,675930.647,3360256.393
1038,675931.503,3360256.24
1039,675932.531,3360255.977
1040,675933.599,3360255.716
1041,675934.699,3360255.492
1042,675935.693,3360255.294
1043,675936.937,3360255.11
1044,675937.698,3360254.908
1045,675938.541,3360254.578
1046,675939.393,3360254.239
1047,675940.138,3360254
1048,675940.907,3360253.808
1049,675941.483,3360253.557
1050,675941.993,3360253.407
1051,675942.689,3360253.261
1052,675943.361,3360253.058
1053,675943.937,3360252.825
1054,675944.560,3360252.677
1055,675945.046,3360252.527
1056,675945.299,3360252.336
1057,675945.364,3360252.282
1058,675945.374,3360252.179
1059,675945.366,3360252.124
1060,675945.424,3360252.069
1061,675945.441,3360252.013
1062,675945.303,3360252.085
1063,675945.278,3360252.113
1064,675945.375,3360252.087
1065,675945.440,3360252.05
1066,675945.457,3360251.995
1067,675945.425,3360251.994
1068,675945.377,3360251.966
1069,675945.330,3360251.872
