track_fid,track_seg_,track_se_1,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,gpxtpx_Tra,Lat,Long
0,0,54,14.56,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238589,-91.17822611
0,0,55,14.56,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238556,-91.17822569
0,0,56,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238505,-91.17822569
0,0,57,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238472,-91.1782256
0,0,58,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238472,-91.1782256
0,0,59,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238463,-91.1782256
0,0,60,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238438,-91.17822552
0,0,61,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238438,-91.1782256
0,0,62,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.4023843,-91.17822602
0,0,63,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238421,-91.17822628
0,0,64,14.08,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238413,-91.17822653
0,0,65,13.6,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238388,-91.17822669
0,0,66,13.6,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238396,-91.17822703
0,0,67,13.6,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238421,-91.17822736
0,0,68,13.6,9/9/2020 1:07,,,,,,,,,,,,,,,,,,,,,,0,30.40238438,-91.17822762
0,0,69,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238438,-91.17822787
0,0,70,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238413,-91.17822812
0,0,71,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238413,-91.17822829
0,0,72,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238405,-91.17822837
0,0,73,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238413,-91.17822845
0,0,74,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238396,-91.17822854
0,0,75,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238388,-91.17822871
0,0,76,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238379,-91.17822854
0,0,77,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238379,-91.17822871
0,0,78,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238379,-91.17822896
0,0,79,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238354,-91.17822904
0,0,80,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238304,-91.17822887
0,0,81,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238245,-91.17822879
0,0,82,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238187,-91.17822862
0,0,83,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238111,-91.17822862
0,0,84,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238053,-91.17822862
0,0,85,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237994,-91.17822829
0,0,86,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237818,-91.17822787
0,0,87,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237751,-91.17822778
0,0,88,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237709,-91.17822787
0,0,89,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237667,-91.17822778
0,0,90,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.4023765,-91.17822745
0,0,91,12.63,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.4023765,-91.1782272
0,0,92,12.63,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237659,-91.17822695
0,0,93,12.63,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237675,-91.17822686
0,0,94,12.63,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237709,-91.17822669
0,0,95,12.63,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237726,-91.17822678
0,0,96,12.63,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237742,-91.17822703
0,0,97,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237768,-91.1782272
0,0,98,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237793,-91.17822736
0,0,99,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237818,-91.17822745
0,0,100,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.4023786,-91.17822778
0,0,101,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237893,-91.17822804
0,0,102,13.12,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237902,-91.17822837
0,0,103,13.6,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237893,-91.17822879
0,0,104,13.6,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237893,-91.17822896
0,0,105,13.6,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237877,-91.17822921
0,0,106,13.6,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237851,-91.17822971
0,0,107,13.6,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237835,-91.17823005
0,0,108,13.6,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.4023781,-91.17823063
0,0,109,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237768,-91.17823097
0,0,110,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237734,-91.1782313
0,0,111,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237692,-91.17823156
0,0,112,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237659,-91.17823189
0,0,113,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.402376,-91.17823214
0,0,114,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237499,-91.17823239
0,0,115,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237424,-91.17823239
0,0,116,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237416,-91.17823223
0,0,117,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237424,-91.17823206
0,0,118,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237457,-91.17823172
0,0,119,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237491,-91.17823139
0,0,120,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237508,-91.17823105
0,0,121,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237558,-91.1782308
0,0,122,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237625,-91.17823055
0,0,123,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237709,-91.17823038
